Quotazioni Fantacalcio,,,
Id,R,Nome,Squadra
507,A,MURIEL,Atalanta
2531,A,LUKAKU,Inter
2610,A,RONALDO,Juventus
531,A,BERARDI,Sassuolo
409,A,INSIGNE,Napoli
2841,A,VLAHOVIC,Fiorentina
608,A,ZAPATA D.,Atalanta
2764,A,MARTINEZ L.,Inter
785,A,IMMOBILE,Lazio
1997,A,SIMY,Crotone
2529,C,MKHITARYAN,Roma
441,A,BELOTTI,Torino
2530,A,IBRAHIMOVIC,Milan
410,A,MERTENS,Napoli
4661,A,OSIMHEN,Napoli
4427,C,MALINOVSKYI,Atalanta
1850,C,KESSIE',Milan
1996,C,DE PAUL,Udinese
1874,A,JOAO PEDRO,Cagliari
4517,A,LOZANO,Napoli
2819,A,CAPUTO,Sassuolo
313,A,MORATA,Juventus
4160,D,HAKIMI,Inter
2002,C,CHIESA,Juventus
152,C,ZIELINSKI,Napoli
2475,A,SANCHEZ,Inter
5233,A,MAYORAL,Roma
2160,D,GOSENS,Atalanta
186,A,REBIC,Milan
568,A,QUAGLIARELLA,Sampdoria
472,A,DESTRO,Genoa
645,C,MILINKOVIC-SAVIC,Lazio
536,C,POLITANO,Napoli
5336,A,NZOLA,Spezia
2085,C,LUIS ALBERTO,Lazio
2215,C,VERETOUT,Roma
177,A,ILICIC,Atalanta
2625,C,SORIANO,Bologna
332,C,CANDREVA,Sampdoria
4292,D,HERNANDEZ T.,Milan
632,C,ZACCAGNI,Verona
4970,A,MESSIAS,Crotone
2195,A,OUNAS,Crotone
215,A,VERDE,Spezia
440,C,VIOLA,Benevento
2194,C,CALHANOGLU,Milan
530,C,PELLEGRINI LO.,Roma
495,A,CORREA,Lazio
4510,A,RAFAEL LEAO,Milan
2137,A,SCAMACCA,Genoa
5311,A,SHOMURODOV,Genoa
302,C,PEREYRA,Udinese
2719,A,BARROW,Bologna
4973,C,MCKENNIE,Juventus
2172,C,BARAK,Verona
2167,A,ORSOLINI,Bologna
245,A,PANDEV,Genoa
2284,A,CAICEDO,Lazio
407,A,GABBIADINI,Sampdoria
345,A,KEITA B.,Sampdoria
798,D,SKRINIAR,Inter
554,D,ZAPPACOSTA,Genoa
788,C,FREULER,Atalanta
2077,C,PASALIC,Atalanta
1870,C,BARELLA,Inter
234,C,KUCKA,Parma
647,A,DZEKO,Roma
453,P,SZCZESNY,Juventus
350,P,DONNARUMMA G.,Milan
697,D,CUADRADO,Juventus
254,D,DIMARCO,Verona
2833,C,KULUSEVSKI,Juventus
1995,C,DJURICIC,Sassuolo
827,C,LOCATELLI,Sassuolo
236,C,LAZOVIC,Verona
383,A,PETAGNA,Napoli
4371,A,RASPADORI,Sassuolo
610,P,GOLLINI,Atalanta
250,P,HANDANOVIC,Inter
4237,D,DANILO,Juventus
4307,D,ROMERO,Atalanta
2788,D,BREMER,Torino
265,C,BROZOVIC,Inter
2556,C,ERIKSEN,Inter
1987,C,JANKTO,Sampdoria
2857,C,TRAORE' HJ.,Sassuolo
5001,C,MIRANCHUK,Atalanta
280,A,PALACIO,Bologna
1939,A,LAPADULA,Benevento
309,A,DYBALA,Juventus
1958,A,CAPRARI,Benevento
761,P,AUDERO,Sampdoria
2525,D,DARMIAN,Inter
2296,D,MANCINI,Roma
581,D,FARAONI,Verona
2180,D,KARSDORP,Roma
2741,C,PESSINA,Atalanta
4377,C,CASTROVILLI,Fiorentina
4423,C,HERNANI,Parma
4988,C,MAGGIORE,Spezia
4825,C,DIAZ B.,Milan
247,A,PAVOLETTI,Cagliari
2832,A,BOGA,Sassuolo
315,A,ZAZA,Torino
509,P,CONSIGLI,Sassuolo
322,D,DE VRIJ,Inter
706,D,ANSALDI,Torino
2744,C,SVANBERG,Bologna
2263,C,LAZZARI,Lazio
4725,C,DEMME,Napoli
5298,C,POBEGA,Spezia
4359,A,PICCOLI,Spezia
2409,A,RIBERY,Fiorentina
4992,A,GYASI,Spezia
4324,A,OKAKA,Udinese
572,P,MERET,Napoli
4428,D,DE LIGT,Juventus
357,D,CALABRIA,Milan
2633,D,KJAER,Milan
1852,D,SPINAZZOLA,Roma
2280,D,NUYTINCK,Udinese
4998,D,MOLINA N.,Udinese
4751,D,TOMORI,Milan
4965,C,MARIN,Cagliari
4514,C,NANDEZ,Cagliari
2472,C,RAMSEY,Juventus
2775,C,RUIZ,Napoli
4978,C,DAMSGAARD,Sampdoria
600,C,VERRE,Sampdoria
4415,A,SKOV OLSEN,Bologna
2061,A,SIMEONE,Cagliari
2489,A,PEDRO,Roma
643,A,DEFREL,Sassuolo
